"Series Name","Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"GDP (current US$)","NY.GDP.MKTP.CD","India","IND","320979026419.63","468394937262.37","1675615335600.6","1823050405350.4","1827637859135.7","1856722121394.5","2039127446298.5","2103587813812.7","2290432075123.7","2652242857923.9","2718732231257.6",".."
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Data from database: World Development Indicators","","","","","","","","","","","","","","",""
"Last Updated: 04/09/2020","","","","","","","","","","","","","","",""
